Student ID,Age,Gender,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Total salary if available,Transportation to the university,Accommodation type in Cyprus,Mothers' education,Fathers' education,Number of sisters/brothers,Parental status,Mothers' occupation,Fathers' occupation,Weekly study hours,Reading frequency (non-scientific books/journals),Reading frequency (scientific books/journals),Attendance to the seminars/conferences related to the department,Impact of your projects/activities on your success,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative grade point average in the last semester (/4.00),Expected Cumulative grade point average in the graduation (/4.00),Course ID,OUTPUT Grade
33,2,2,2,4,1,2,2,1,1,3,1,3,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,5,7.0
34,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
35,3,2,2,3,1,2,1,1,2,1,2,4,1,2,3,2,2,2,1,1,1,1,1,3,3,2,3,5,4,5,3.0
36,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,3,1,1,2,3,8,1.0
37,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
38,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
39,1,1,2,5,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
40,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
41,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
42,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
43,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
44,1,1,1,3,2,2,3,2,3,3,4,2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2.0
45,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
46,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,8,0.0
47,1,2,2,4,2,2,1,1,3,1,3,1,1,2,4,2,2,2,2,1,2,1,1,3,3,3,3,4,4,1,5.0
48,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
49,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
50,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
51,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,7,1.0
52,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
53,1,1,2,5,1,1,1,2,3,1,2,2,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
54,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
55,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
56,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
57,1,1,2,4,1,1,1,2,3,2,2,2,1,4,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,8,1.0
58,2,1,2,4,1,1,1,1,1,1,3,4,1,2,4,2,3,3,1,1,2,1,1,3,3,2,2,2,2,4,4.0
59,1,1,2,5,1,1,1,2,3,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
60,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
61,2,2,3,3,2,2,3,1,1,4,4,2,1,1,2,1,2,2,1,1,1,3,1,3,2,3,3,1,2,5,7.0
62,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
63,2,2,2,5,1,1,1,1,2,1,1,5,1,2,4,2,2,2,1,1,1,2,1,2,3,3,3,5,4,1,5.0
64,1,2,2,3,2,1,1,1,2,1,1,2,1,2,3,2,3,3,1,1,1,1,1,2,2,3,2,3,3,3,6.0
65,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
66,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
67,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
68,2,2,2,4,2,2,1,1,2,1,3,4,1,2,4,3,1,1,2,1,1,1,2,3,2,3,1,5,3,3,6.0
69,2,1,2,3,2,2,1,1,2,1,3,1,1,2,4,1,2,1,1,1,1,1,1,2,2,2,3,2,1,1,1.0
70,2,2,1,2,2,1,2,1,1,5,4,3,1,4,3,2,3,2,1,1,1,3,2,2,1,2,3,2,2,4,4.0
71,1,1,2,5,1,1,1,2,4,1,1,2,1,3,2,2,2,3,2,2,1,1,1,3,3,1,1,1,3,8,1.0
72,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
73,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
74,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
75,2,1,2,3,1,1,1,1,2,1,2,2,2,2,4,3,3,2,1,1,1,1,1,2,1,2,1,3,3,9,5.0
76,2,1,2,3,2,2,5,2,1,6,1,3,1,2,3,1,2,2,1,1,1,1,1,1,3,3,1,2,1,1,2.0
77,1,1,1,5,2,1,1,1,2,1,2,3,1,2,1,2,2,3,2,1,1,2,1,3,2,3,1,5,4,9,3.0
78,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
79,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
80,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
81,1,1,1,4,1,1,4,2,3,5,5,1,1,3,2,3,3,3,1,3,1,3,2,3,1,3,3,4,3,1,0.0
82,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
83,1,1,2,5,1,1,1,2,3,2,2,2,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
84,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
85,2,2,2,4,2,2,1,1,1,1,3,4,1,2,4,1,2,2,1,3,1,1,1,3,3,3,2,4,4,4,3.0
86,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
87,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,8,1.0
88,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
89,1,1,1,5,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,3,1,2,4,9,2.0
90,2,1,2,4,1,1,2,2,3,3,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,7,2.0
91,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
92,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
93,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
94,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
95,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
96,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
97,2,1,2,3,2,2,3,4,2,1,2,3,1,2,3,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,0.0
98,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
99,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
100,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
101,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
102,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
103,3,2,3,3,1,2,3,1,2,4,2,5,3,2,1,1,2,2,1,1,1,3,3,3,3,3,3,5,4,5,7.0
104,1,1,2,5,1,1,1,2,3,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
105,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,2,2,3,2,2,1,1,1,3,3,2,1,2,3,8,1.0
106,1,1,2,5,1,1,1,2,3,2,2,2,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
107,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
108,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
109,1,1,2,5,1,1,1,1,4,1,1,1,1,5,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
110,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
111,1,2,1,3,2,1,1,2,2,4,4,2,3,2,5,3,2,2,1,1,1,2,2,3,2,3,1,4,4,7,7.0
112,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
113,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
114,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
115,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
116,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
117,1,2,1,2,2,2,2,2,2,6,5,2,1,4,2,2,2,2,2,1,2,3,1,2,2,2,2,1,1,4,7.0
118,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
119,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
120,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
121,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
122,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
123,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
124,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
125,1,2,2,4,2,1,1,1,3,1,5,4,1,2,2,3,3,1,1,1,1,1,1,2,2,2,2,4,1,3,7.0
126,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,2,2,3,7,2.0
127,1,2,2,5,2,1,1,4,2,1,2,3,1,4,4,1,2,2,1,1,1,3,1,3,3,2,2,3,3,8,1.0
128,1,2,2,3,2,2,1,1,1,3,4,4,1,3,2,3,2,2,1,1,1,1,1,3,2,3,3,2,2,6,7.0
129,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
130,2,1,2,4,1,2,1,1,1,2,3,5,3,2,5,1,2,2,1,1,2,1,1,2,2,3,2,4,3,3,5.0
131,2,2,2,3,2,2,1,1,2,4,4,2,1,3,1,2,2,2,2,3,2,1,1,3,2,2,3,2,2,1,2.0
132,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
133,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
134,1,2,2,4,2,1,1,1,1,4,4,1,1,3,2,2,2,2,1,1,1,1,2,3,1,2,3,5,3,6,6.0
135,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
136,3,1,1,3,2,1,1,1,2,4,4,1,1,1,3,2,2,3,2,1,2,1,1,2,3,2,1,2,3,8,1.0
137,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,1,2,3,7,2.0
138,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
139,2,1,2,3,1,2,1,1,1,1,2,5,1,2,3,2,1,2,1,1,1,1,1,1,3,2,2,2,3,1,2.0
140,2,2,3,3,1,2,1,1,1,1,2,3,1,2,5,3,2,2,1,1,1,1,1,3,2,1,2,1,1,1,1.0
141,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
142,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
143,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
144,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
145,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
146,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
147,2,2,2,3,1,2,1,1,1,1,1,4,2,2,4,3,3,3,1,1,1,1,2,3,1,2,3,3,3,1,3.0
148,1,1,2,5,1,1,1,2,3,1,1,1,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
149,2,1,2,5,2,2,1,1,1,1,1,5,1,2,4,3,3,3,2,1,1,1,1,3,3,3,1,2,3,8,1.0
150,2,2,2,3,2,2,1,1,1,3,5,3,1,2,2,2,2,2,1,1,2,1,1,3,1,3,3,3,2,6,6.0
151,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
152,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
153,1,1,2,4,2,2,3,1,1,2,2,5,1,2,5,5,3,2,2,1,2,1,1,3,1,3,3,3,3,1,2.0
154,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
155,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
156,1,1,1,5,2,2,3,1,1,3,1,5,1,2,4,3,1,1,1,1,1,2,1,3,2,3,1,5,4,9,3.0
157,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
158,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
159,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,7,1.0
160,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
161,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
162,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
163,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
164,2,2,2,3,2,2,3,4,2,1,4,2,1,4,2,2,1,1,1,1,1,1,2,3,1,3,1,5,3,1,3.0
165,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
166,2,2,2,3,2,2,1,1,1,1,2,3,1,2,5,2,2,2,1,1,1,1,1,2,2,3,1,4,2,1,5.0
167,1,2,2,1,1,2,1,1,2,1,2,4,1,2,3,5,2,1,1,1,1,1,1,3,3,3,2,2,2,6,4.0
168,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
169,2,1,1,5,2,1,2,2,1,1,2,1,3,1,5,3,3,2,1,1,2,1,1,2,3,1,2,3,3,7,6.0
170,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,1,1,2,3,7,1.0
171,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
172,1,1,2,5,1,1,1,2,3,1,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
173,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
174,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
175,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
176,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
177,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
178,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
179,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
180,2,1,2,4,2,2,1,1,1,2,2,2,1,2,3,1,1,2,1,1,1,2,1,3,2,3,1,3,2,3,5.0
181,1,1,2,4,1,1,1,2,3,2,2,2,1,4,3,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
182,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
183,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
184,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
185,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,7,1.0
186,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
187,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
188,1,1,2,4,1,1,1,1,3,2,3,2,1,4,3,4,2,2,2,1,1,2,2,3,3,2,1,3,3,9,3.0
189,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
190,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
191,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
192,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
193,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
194,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
195,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
196,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
197,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
198,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
199,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
200,2,1,2,5,1,1,4,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,8,2.0
201,1,1,2,4,2,2,1,4,2,1,1,5,1,2,1,3,2,2,2,1,2,1,1,3,2,2,1,5,3,9,5.0
202,1,1,2,5,1,1,1,2,3,2,2,2,1,3,3,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
